seq:	Ia	Ib	Ic	In	Va	Vb	Vc	Vn
149	224.939	60.1271	-294.428	0	234.301	59.4818	-294.428	0	
150	215.337	87.2485	-302.257	0	215.008	89.8613	-302.257	0	
151	186.002	113.667	-307.652	0	193.984	115.476	-307.652	0	
152	170.593	139.171	-310.57	0	171.399	137.363	-310.57	0	
153	143.859	163.554	-310.988	0	147.433	160.942	-310.988	0	
154	119.553	186.621	-308.901	0	122.281	187.266	-308.901	0	
155	104.921	208.185	-304.328	0	96.1435	211.085	-304.328	0	
156	64.8552	228.072	-297.304	0	69.2323	228.718	-297.304	0	
157	45.3607	246.124	-287.887	0	41.7636	243.511	-287.887	0	
158	9.01148	262.193	-276.152	0	13.9587	260.385	-276.152	0	
159	-11.1562	276.152	-262.193	0	-13.9587	277.96	-262.193	0	
160	-46.0544	287.887	-246.124	0	-41.7636	290.5	-246.124	0	
161	-69.5786	297.304	-228.072	0	-69.2323	296.659	-228.072	0	
162	-90.797	304.328	-208.185	0	-96.1435	301.428	-208.185	0	
163	-125.645	308.901	-186.621	0	-122.281	308.256	-186.621	0	
164	-147.066	310.988	-163.554	0	-147.433	313.601	-163.554	0	
165	-175.981	310.57	-139.171	0	-171.399	312.378	-139.171	0	
166	-191.569	307.652	-113.667	0	-193.984	305.844	-113.667	0	
167	-219.018	302.257	-87.2485	0	-215.008	299.644	-87.2485	0	
168	-231.623	294.428	-60.1271	0	-234.301	295.073	-60.1271	0	
169	-246.284	284.229	-32.5216	0	-251.707	287.129	-32.5216	0	
170	-265.774	271.741	-4.65428	0	-267.087	272.386	-4.65428	0	
171	-280.537	257.065	23.2505	0	-280.316	254.452	23.2505	0	
172	-292.284	240.32	50.9682	0	-291.288	238.512	50.9682	0	
173	-298.765	221.639	78.2754	0	-299.915	223.448	78.2754	0	
174	-309.48	201.175	104.952	0	-306.127	203.787	104.952	0	
175	-308.302	179.09	130.784	0	-309.874	178.445	130.784	0	
176	-307.827	155.563	155.563	0	-311.127	152.663	155.563	0	
177	-308.302	130.784	179.09	0	-309.874	130.139	179.09	0	
178	-309.48	104.952	201.175	0	-306.127	107.565	201.175	0	
179	-298.765	78.2754	221.639	0	-299.915	80.0835	221.639	0	
180	-292.284	50.9682	240.32	0	-291.288	49.1601	240.32	0	
181	-280.537	23.2505	257.065	0	-280.316	20.6377	257.065	0	
182	-265.774	-4.65428	271.741	0	-267.087	-4.00896	271.741	0	
183	-246.284	-32.5216	284.229	0	-251.707	-29.6216	284.229	0	
184	-231.623	-60.1271	294.428	0	-234.301	-59.4818	294.428	0	
185	-219.018	-87.2485	302.257	0	-215.008	-89.8613	302.257	0	
186	-191.569	-113.667	307.652	0	-193.984	-115.476	307.652	0	
187	-175.981	-139.171	310.57	0	-171.399	-137.363	310.57	0	
188	-147.066	-163.554	310.988	0	-147.433	-160.942	310.988	0	
189	-125.645	-186.621	308.901	0	-122.281	-187.266	308.901	0	
190	-90.797	-208.185	304.328	0	-96.1435	-211.085	304.328	0	
191	-69.5786	-228.072	297.304	0	-69.2323	-228.718	297.304	0	
192	-46.0544	-246.124	287.887	0	-41.7636	-243.511	287.887	0	
