seq:	Ia	Ib	Ic	In	Va	Vb	Vc	Vn
255	-217.94	-89.2315	299.509	0	-215.008	-87.2485	302.257	0	
256	-196.63	-116.251	304.855	0	-193.984	-113.667	307.652	0	
257	-173.736	-142.334	307.747	0	-171.399	-139.171	310.57	0	
258	-149.444	-167.272	308.161	0	-147.433	-163.554	310.988	0	
259	-123.948	-190.862	306.093	0	-122.281	-186.621	308.901	0	
260	-97.4546	-212.916	301.561	0	-96.1435	-208.185	304.328	0	
261	-70.1763	-233.256	294.602	0	-69.2323	-228.072	297.304	0	
262	-42.3331	-251.717	285.27	0	-41.7636	-246.124	287.887	0	
263	-14.149	-268.152	273.641	0	-13.9587	-262.193	276.152	0	
264	14.149	-282.428	259.81	0	13.9587	-276.152	262.193	0	
265	42.3331	-294.43	243.886	0	41.7636	-287.887	246.124	0	
266	70.1763	-304.061	225.999	0	69.2323	-297.304	228.072	0	
267	97.4546	-311.245	206.292	0	96.1435	-304.328	208.185	0	
268	123.948	-315.922	184.924	0	122.281	-308.901	186.621	0	
269	149.444	-318.056	162.068	0	147.433	-310.988	163.554	0	
270	173.736	-317.629	137.906	0	171.399	-310.57	139.171	0	
271	196.63	-314.644	112.634	0	193.984	-307.652	113.667	0	
272	217.94	-309.126	86.4554	0	215.008	-302.257	87.2485	0	
273	237.496	-301.12	59.5805	0	234.301	-294.428	60.1271	0	
274	255.139	-290.688	32.226	0	251.707	-284.229	32.5216	0	
275	270.729	-277.917	4.61196	0	267.087	-271.741	4.65428	0	
276	284.138	-262.908	-23.0392	0	280.316	-257.065	-23.2505	0	
277	295.26	-245.782	-50.5048	0	291.288	-240.32	-50.9682	0	
278	304.005	-226.677	-77.5638	0	299.915	-221.639	-78.2754	0	
279	310.302	-205.747	-103.998	0	306.127	-201.175	-104.952	0	
280	314.1	-183.16	-129.596	0	309.874	-179.09	-130.784	0	
281	315.37	-159.099	-154.149	0	311.127	-155.563	-155.563	0	
282	314.1	-133.757	-177.462	0	309.874	-130.784	-179.09	0	
283	310.302	-107.338	-199.346	0	306.127	-104.952	-201.175	0	
284	304.005	-80.0544	-219.625	0	299.915	-78.2754	-221.639	0	
285	295.26	-52.1265	-238.135	0	291.288	-50.9682	-240.32	0	
286	284.138	-23.779	-254.728	0	280.316	-23.2505	-257.065	0	
287	270.729	4.76005	-269.27	0	267.087	4.65428	-271.741	0	
288	255.139	33.2608	-281.645	0	251.707	32.5216	-284.229	0	
289	237.496	61.4937	-291.751	0	234.301	60.1271	-294.428	0	
290	217.94	89.2315	-299.509	0	215.008	87.2485	-302.257	0	
291	196.63	116.251	-304.855	0	193.984	113.667	-307.652	0	
292	173.736	142.334	-307.747	0	171.399	139.171	-310.57	0	
293	149.444	167.272	-308.161	0	147.433	163.554	-310.988	0	
294	123.948	190.862	-306.093	0	122.281	186.621	-308.901	0	
295	97.4546	212.916	-301.561	0	96.1435	208.185	-304.328	0	
296	70.1763	233.256	-294.602	0	69.2323	228.072	-297.304	0	
297	42.3331	251.717	-285.27	0	41.7636	246.124	-287.887	0	
298	14.149	268.152	-273.641	0	13.9587	262.193	-276.152	0	
299	-14.149	282.428	-259.81	0	-13.9587	276.152	-262.193	0	
300	-42.3331	294.43	-243.886	0	-41.7636	287.887	-246.124	0	
301	-70.1763	304.061	-225.999	0	-69.2323	297.304	-228.072	0	
302	-97.4546	311.245	-206.292	0	-96.1435	304.328	-208.185	0	
303	-123.948	315.922	-184.924	0	-122.281	308.901	-186.621	0	
304	-149.444	318.056	-162.068	0	-147.433	310.988	-163.554	0	
305	-173.736	317.629	-137.906	0	-171.399	310.57	-139.171	0	
306	-196.63	314.644	-112.634	0	-193.984	307.652	-113.667	0	
307	-217.94	309.126	-86.4554	0	-215.008	302.257	-87.2485	0	
308	-237.496	301.12	-59.5805	0	-234.301	294.428	-60.1271	0	
309	-255.139	290.688	-32.226	0	-251.707	284.229	-32.5216	0	
310	-270.729	277.917	-4.61196	0	-267.087	271.741	-4.65428	0	
311	-284.138	262.908	23.0392	0	-280.316	257.065	23.2505	0	
312	-295.26	245.782	50.5048	0	-291.288	240.32	50.9682	0	
